SubID,Trial,Task,Difficulty,StimColor,RT,Accuracy,Year,StimLoc
135ed78591,2,ChoiceTask,Easy,Red,566,Correct,2014,0
135ed78591,3,ChoiceTask,Easy,Yellow,666,Correct,2014,0
135ed78591,4,ChoiceTask,Easy,Yellow,700,Correct,2014,0
135ed78591,5,ChoiceTask,Easy,Red,683,Correct,2014,0
135ed78591,6,ChoiceTask,Easy,Red,516,Correct,2014,0
135ed78591,7,ChoiceTask,Easy,Yellow,700,Correct,2014,0
135ed78591,8,ChoiceTask,Easy,Red,583,Correct,2014,0
135ed78591,9,ChoiceTask,Easy,Blue,700,Correct,2014,0
135ed78591,10,ChoiceTask,Easy,Yellow,916,Correct,2014,0
135ed78591,11,ChoiceTask,Easy,Yellow,700,Correct,2014,0
135ed78591,12,ChoiceTask,Easy,Yellow,650,Correct,2014,0
135ed78591,13,ChoiceTask,Easy,Green,833,Correct,2014,0
135ed78591,14,ChoiceTask,Easy,Blue,650,Correct,2014,0
135ed78591,15,ChoiceTask,Easy,Blue,616,Correct,2014,0
135ed78591,16,ChoiceTask,Easy,Blue,600,Correct,2014,0
135ed78591,17,ChoiceTask,Easy,Blue,700,Correct,2014,0
135ed78591,18,ChoiceTask,Easy,Green,716,Correct,2014,0
135ed78591,19,ChoiceTask,Easy,Green,516,Correct,2014,0
135ed78591,20,ChoiceTask,Easy,Blue,716,Correct,2014,0
135ed78591,21,ChoiceTask,Easy,Yellow,700,Correct,2014,0
135ed78591,22,ChoiceTask,Easy,Red,550,Correct,2014,0
135ed78591,23,ChoiceTask,Easy,Red,600,Correct,2014,0
135ed78591,25,ChoiceTask,Easy,Yellow,800,Correct,2014,0
135ed78591,26,ChoiceTask,Easy,Green,650,Correct,2014,0
135ed78591,27,ChoiceTask,Easy,Red,566,Correct,2014,0
135ed78591,28,ChoiceTask,Easy,Green,616,Correct,2014,0
135ed78591,29,ChoiceTask,Easy,Blue,466,Correct,2014,0
2aacd6089c,2,ChoiceTask,Easy,Green,575,Correct,2015,0
2aacd6089c,2,ChoiceTask,Easy,Blue,435,Correct,2015,0
2aacd6089c,2,ChoiceTask,Easy,Green,575,Correct,2015,0
2aacd6089c,2,ChoiceTask,Easy,Blue,435,Correct,2015,0
2aacd6089c,2,ChoiceTask,Easy,Blue,550,Correct,2015,0
2aacd6089c,2,ChoiceTask,Easy,Yellow,515,Correct,2015,0
2aacd6089c,3,ChoiceTask,Easy,Red,485,Correct,2015,0
2aacd6089c,3,ChoiceTask,Easy,Red,556,Correct,2015,0
2aacd6089c,3,ChoiceTask,Easy,Red,485,Correct,2015,0
2aacd6089c,3,ChoiceTask,Easy,Red,556,Correct,2015,0
2aacd6089c,3,ChoiceTask,Easy,Yellow,606,Correct,2015,0
2aacd6089c,3,ChoiceTask,Easy,Red,550,Correct,2015,0
2aacd6089c,4,ChoiceTask,Easy,Red,523,Correct,2015,0
2aacd6089c,4,ChoiceTask,Easy,Red,523,Correct,2015,0
2aacd6089c,4,ChoiceTask,Easy,Green,784,Correct,2015,0
2aacd6089c,5,ChoiceTask,Easy,Red,506,Correct,2015,0
2aacd6089c,5,ChoiceTask,Easy,Blue,551,Correct,2015,0
2aacd6089c,5,ChoiceTask,Easy,Red,506,Correct,2015,0
2aacd6089c,5,ChoiceTask,Easy,Blue,551,Correct,2015,0
2aacd6089c,5,ChoiceTask,Easy,Green,556,Correct,2015,0
2aacd6089c,5,ChoiceTask,Easy,Yellow,528,Correct,2015,0
2aacd6089c,6,ChoiceTask,Easy,Yellow,585,Correct,2015,0
2aacd6089c,6,ChoiceTask,Easy,Green,638,Correct,2015,0
2aacd6089c,6,ChoiceTask,Easy,Yellow,585,Correct,2015,0
2aacd6089c,6,ChoiceTask,Easy,Green,638,Correct,2015,0
2aacd6089c,6,ChoiceTask,Easy,Blue,418,Correct,2015,0
2aacd6089c,6,ChoiceTask,Easy,Red,536,Correct,2015,0
2aacd6089c,7,ChoiceTask,Easy,Blue,690,Correct,2015,0
2aacd6089c,7,ChoiceTask,Easy,Green,493,Correct,2015,0
2aacd6089c,7,ChoiceTask,Easy,Blue,690,Correct,2015,0
2aacd6089c,7,ChoiceTask,Easy,Green,493,Correct,2015,0
2aacd6089c,7,ChoiceTask,Easy,Yellow,555,Correct,2015,0
2aacd6089c,7,ChoiceTask,Easy,Green,587,Correct,2015,0
2aacd6089c,8,ChoiceTask,Easy,Yellow,611,Correct,2015,0
2aacd6089c,8,ChoiceTask,Easy,Red,555,Correct,2015,0
2aacd6089c,8,ChoiceTask,Easy,Yellow,611,Correct,2015,0
2aacd6089c,8,ChoiceTask,Easy,Red,555,Correct,2015,0
2aacd6089c,8,ChoiceTask,Easy,Yellow,580,Correct,2015,0
2aacd6089c,8,ChoiceTask,Easy,Blue,461,Correct,2015,0
2aacd6089c,9,ChoiceTask,Easy,Green,641,Correct,2015,0
2aacd6089c,9,ChoiceTask,Easy,Yellow,630,Correct,2015,0
2aacd6089c,9,ChoiceTask,Easy,Green,641,Correct,2015,0
2aacd6089c,9,ChoiceTask,Easy,Yellow,630,Correct,2015,0
2aacd6089c,9,ChoiceTask,Easy,Blue,535,Correct,2015,0
2aacd6089c,10,ChoiceTask,Easy,Red,402,Correct,2015,0
2aacd6089c,10,ChoiceTask,Easy,Yellow,418,Correct,2015,0
2aacd6089c,10,ChoiceTask,Easy,Red,402,Correct,2015,0
2aacd6089c,10,ChoiceTask,Easy,Yellow,418,Correct,2015,0
2aacd6089c,10,ChoiceTask,Easy,Yellow,747,Correct,2015,0
2aacd6089c,10,ChoiceTask,Easy,Blue,524,Correct,2015,0
2aacd6089c,11,ChoiceTask,Easy,Yellow,609,Correct,2015,0
2aacd6089c,11,ChoiceTask,Easy,Yellow,439,Correct,2015,0
2aacd6089c,11,ChoiceTask,Easy,Yellow,609,Correct,2015,0
2aacd6089c,11,ChoiceTask,Easy,Yellow,439,Correct,2015,0
2aacd6089c,11,ChoiceTask,Easy,Blue,627,Correct,2015,0
2aacd6089c,11,ChoiceTask,Easy,Yellow,590,Correct,2015,0
2aacd6089c,12,ChoiceTask,Easy,Yellow,420,Correct,2015,0
2aacd6089c,12,ChoiceTask,Easy,Red,463,Correct,2015,0
2aacd6089c,12,ChoiceTask,Easy,Yellow,420,Correct,2015,0
2aacd6089c,12,ChoiceTask,Easy,Red,463,Correct,2015,0
2aacd6089c,12,ChoiceTask,Easy,Yellow,584,Correct,2015,0
2aacd6089c,12,ChoiceTask,Easy,Red,602,Correct,2015,0
2aacd6089c,13,ChoiceTask,Easy,Green,610,Correct,2015,0
2aacd6089c,13,ChoiceTask,Easy,Green,595,Correct,2015,0
2aacd6089c,13,ChoiceTask,Easy,Green,610,Correct,2015,0
2aacd6089c,13,ChoiceTask,Easy,Green,595,Correct,2015,0
2aacd6089c,13,ChoiceTask,Easy,Red,452,Correct,2015,0
2aacd6089c,13,ChoiceTask,Easy,Blue,608,Correct,2015,0
2aacd6089c,14,ChoiceTask,Easy,Blue,381,Correct,2015,0
2aacd6089c,14,ChoiceTask,Easy,Blue,440,Correct,2015,0
2aacd6089c,14,ChoiceTask,Easy,Blue,381,Correct,2015,0
2aacd6089c,14,ChoiceTask,Easy,Blue,440,Correct,2015,0
2aacd6089c,14,ChoiceTask,Easy,Red,581,Correct,2015,0
2aacd6089c,14,ChoiceTask,Easy,Yellow,493,Correct,2015,0
2aacd6089c,15,ChoiceTask,Easy,Blue,521,Correct,2015,0
2aacd6089c,15,ChoiceTask,Easy,Yellow,752,Correct,2015,0
2aacd6089c,15,ChoiceTask,Easy,Blue,521,Correct,2015,0
2aacd6089c,15,ChoiceTask,Easy,Yellow,752,Correct,2015,0
2aacd6089c,15,ChoiceTask,Easy,Green,468,Correct,2015,0
2aacd6089c,15,ChoiceTask,Easy,Blue,601,Correct,2015,0
2aacd6089c,16,ChoiceTask,Easy,Red,389,Correct,2015,0
2aacd6089c,16,ChoiceTask,Easy,Green,563,Correct,2015,0
2aacd6089c,16,ChoiceTask,Easy,Red,389,Correct,2015,0
2aacd6089c,16,ChoiceTask,Easy,Green,563,Correct,2015,0
2aacd6089c,16,ChoiceTask,Easy,Blue,533,Correct,2015,0
2aacd6089c,16,ChoiceTask,Easy,Yellow,618,Correct,2015,0
2aacd6089c,17,ChoiceTask,Easy,Green,644,Correct,2015,0
2aacd6089c,17,ChoiceTask,Easy,Green,470,Correct,2015,0
2aacd6089c,17,ChoiceTask,Easy,Green,644,Correct,2015,0
2aacd6089c,17,ChoiceTask,Easy,Green,470,Correct,2015,0
2aacd6089c,17,ChoiceTask,Easy,Red,607,Correct,2015,0
2aacd6089c,17,ChoiceTask,Easy,Red,552,Correct,2015,0
2aacd6089c,18,ChoiceTask,Easy,Red,582,Correct,2015,0
2aacd6089c,18,ChoiceTask,Easy,Yellow,585,Correct,2015,0
2aacd6089c,18,ChoiceTask,Easy,Red,582,Correct,2015,0
2aacd6089c,18,ChoiceTask,Easy,Yellow,585,Correct,2015,0
2aacd6089c,18,ChoiceTask,Easy,Red,474,Correct,2015,0
2aacd6089c,18,ChoiceTask,Easy,Blue,552,Correct,2015,0
2aacd6089c,19,ChoiceTask,Easy,Blue,719,Correct,2015,0
2aacd6089c,19,ChoiceTask,Easy,Red,463,Correct,2015,0
2aacd6089c,19,ChoiceTask,Easy,Blue,719,Correct,2015,0
2aacd6089c,19,ChoiceTask,Easy,Red,463,Correct,2015,0
2aacd6089c,19,ChoiceTask,Easy,Green,646,Correct,2015,0
2aacd6089c,19,ChoiceTask,Easy,Green,568,Correct,2015,0
2aacd6089c,20,ChoiceTask,Easy,Green,611,Correct,2015,0
2aacd6089c,20,ChoiceTask,Easy,Green,611,Correct,2015,0
2aacd6089c,20,ChoiceTask,Easy,Red,522,Correct,2015,0
2aacd6089c,20,ChoiceTask,Easy,Red,485,Correct,2015,0
2aacd6089c,21,ChoiceTask,Easy,Yellow,585,Correct,2015,0
2aacd6089c,21,ChoiceTask,Easy,Green,652,Correct,2015,0
2aacd6089c,21,ChoiceTask,Easy,Yellow,585,Correct,2015,0
2aacd6089c,21,ChoiceTask,Easy,Green,652,Correct,2015,0
2aacd6089c,21,ChoiceTask,Easy,Red,467,Correct,2015,0
2aacd6089c,21,ChoiceTask,Easy,Yellow,771,Correct,2015,0
2aacd6089c,22,ChoiceTask,Easy,Blue,518,Correct,2015,0
2aacd6089c,22,ChoiceTask,Easy,Blue,518,Correct,2015,0
2aacd6089c,22,ChoiceTask,Easy,Yellow,518,Correct,2015,0
2aacd6089c,22,ChoiceTask,Easy,Green,548,Correct,2015,0
2aacd6089c,23,ChoiceTask,Easy,Red,518,Correct,2015,0
2aacd6089c,23,ChoiceTask,Easy,Yellow,608,Correct,2015,0
2aacd6089c,23,ChoiceTask,Easy,Red,518,Correct,2015,0
2aacd6089c,23,ChoiceTask,Easy,Yellow,608,Correct,2015,0
2aacd6089c,23,ChoiceTask,Easy,Red,629,Correct,2015,0
2aacd6089c,23,ChoiceTask,Easy,Yellow,471,Correct,2015,0
2aacd6089c,24,ChoiceTask,Easy,Yellow,434,Correct,2015,0
2aacd6089c,24,ChoiceTask,Easy,Green,634,Correct,2015,0
2aacd6089c,24,ChoiceTask,Easy,Yellow,434,Correct,2015,0
2aacd6089c,24,ChoiceTask,Easy,Green,634,Correct,2015,0
2aacd6089c,24,ChoiceTask,Easy,Blue,584,Correct,2015,0
2aacd6089c,24,ChoiceTask,Easy,Red,484,Correct,2015,0
2aacd6089c,25,ChoiceTask,Easy,Red,485,Correct,2015,0
2aacd6089c,25,ChoiceTask,Easy,Green,567,Correct,2015,0
2aacd6089c,25,ChoiceTask,Easy,Red,485,Correct,2015,0
2aacd6089c,25,ChoiceTask,Easy,Green,567,Correct,2015,0
2aacd6089c,25,ChoiceTask,Easy,Green,552,Correct,2015,0
2aacd6089c,25,ChoiceTask,Easy,Yellow,523,Correct,2015,0
2aacd6089c,26,ChoiceTask,Easy,Yellow,552,Correct,2015,0
2aacd6089c,26,ChoiceTask,Easy,Green,548,Correct,2015,0
2aacd6089c,26,ChoiceTask,Easy,Yellow,552,Correct,2015,0
2aacd6089c,26,ChoiceTask,Easy,Green,548,Correct,2015,0
2aacd6089c,26,ChoiceTask,Easy,Green,446,Correct,2015,0
2aacd6089c,26,ChoiceTask,Easy,Red,481,Correct,2015,0
2aacd6089c,27,ChoiceTask,Easy,Blue,572,Correct,2015,0
2aacd6089c,27,ChoiceTask,Easy,Blue,402,Correct,2015,0
2aacd6089c,27,ChoiceTask,Easy,Blue,572,Correct,2015,0
2aacd6089c,27,ChoiceTask,Easy,Blue,402,Correct,2015,0
2aacd6089c,27,ChoiceTask,Easy,Yellow,505,Correct,2015,0
2aacd6089c,27,ChoiceTask,Easy,Yellow,568,Correct,2015,0
2aacd6089c,28,ChoiceTask,Easy,Blue,535,Correct,2015,0
2aacd6089c,28,ChoiceTask,Easy,Red,428,Correct,2015,0
2aacd6089c,28,ChoiceTask,Easy,Blue,535,Correct,2015,0
2aacd6089c,28,ChoiceTask,Easy,Red,428,Correct,2015,0
2aacd6089c,28,ChoiceTask,Easy,Blue,614,Correct,2015,0
2aacd6089c,28,ChoiceTask,Easy,Red,518,Correct,2015,0
2aacd6089c,29,ChoiceTask,Easy,Red,598,Correct,2015,0
2aacd6089c,29,ChoiceTask,Easy,Blue,606,Correct,2015,0
2aacd6089c,29,ChoiceTask,Easy,Red,598,Correct,2015,0
2aacd6089c,29,ChoiceTask,Easy,Blue,606,Correct,2015,0
2aacd6089c,29,ChoiceTask,Easy,Green,607,Correct,2015,0
2aacd6089c,30,ChoiceTask,Easy,Green,418,Correct,2015,0
2aacd6089c,30,ChoiceTask,Easy,Red,568,Correct,2015,0
2aacd6089c,30,ChoiceTask,Easy,Green,418,Correct,2015,0
2aacd6089c,30,ChoiceTask,Easy,Red,568,Correct,2015,0
2aacd6089c,30,ChoiceTask,Easy,Yellow,652,Correct,2015,0
2aacd6089c,30,ChoiceTask,Easy,Green,476,Correct,2015,0
2aacd6089c,31,ChoiceTask,Easy,Green,436,Correct,2015,0
2aacd6089c,31,ChoiceTask,Easy,Red,526,Correct,2015,0
2aacd6089c,31,ChoiceTask,Easy,Green,436,Correct,2015,0
2aacd6089c,31,ChoiceTask,Easy,Red,526,Correct,2015,0
2aacd6089c,31,ChoiceTask,Easy,Yellow,562,Correct,2015,0
2aacd6089c,31,ChoiceTask,Easy,Blue,447,Correct,2015,0
2aacd6089c,32,ChoiceTask,Easy,Yellow,565,Correct,2015,0
2aacd6089c,32,ChoiceTask,Easy,Blue,548,Correct,2015,0
2aacd6089c,32,ChoiceTask,Easy,Yellow,565,Correct,2015,0
2aacd6089c,32,ChoiceTask,Easy,Blue,548,Correct,2015,0
2aacd6089c,32,ChoiceTask,Easy,Blue,502,Correct,2015,0
2aacd6089c,32,ChoiceTask,Easy,Green,649,Correct,2015,0
2aacd6089c,33,ChoiceTask,Easy,Green,642,Correct,2015,0
2aacd6089c,33,ChoiceTask,Easy,Blue,560,Correct,2015,0
2aacd6089c,33,ChoiceTask,Easy,Green,642,Correct,2015,0
2aacd6089c,33,ChoiceTask,Easy,Blue,560,Correct,2015,0
2aacd6089c,33,ChoiceTask,Easy,Red,506,Correct,2015,0
2aacd6089c,33,ChoiceTask,Easy,Red,451,Correct,2015,0
2aacd6089c,34,ChoiceTask,Easy,Blue,635,Correct,2015,0
2aacd6089c,34,ChoiceTask,Easy,Red,509,Correct,2015,0
2aacd6089c,34,ChoiceTask,Easy,Blue,635,Correct,2015,0
2aacd6089c,34,ChoiceTask,Easy,Red,509,Correct,2015,0
2aacd6089c,34,ChoiceTask,Easy,Green,543,Correct,2015,0
2aacd6089c,34,ChoiceTask,Easy,Blue,650,Correct,2015,0
2aacd6089c,35,ChoiceTask,Easy,Red,655,Correct,2015,0
2aacd6089c,35,ChoiceTask,Easy,Yellow,390,Correct,2015,0
2aacd6089c,35,ChoiceTask,Easy,Red,655,Correct,2015,0
2aacd6089c,35,ChoiceTask,Easy,Yellow,390,Correct,2015,0
2aacd6089c,35,ChoiceTask,Easy,Red,521,Correct,2015,0
2aacd6089c,35,ChoiceTask,Easy,Red,552,Correct,2015,0
2aacd6089c,36,ChoiceTask,Easy,Green,497,Correct,2015,0
2aacd6089c,36,ChoiceTask,Easy,Yellow,391,Correct,2015,0
2aacd6089c,36,ChoiceTask,Easy,Green,497,Correct,2015,0
2aacd6089c,36,ChoiceTask,Easy,Yellow,391,Correct,2015,0
2aacd6089c,36,ChoiceTask,Easy,Blue,523,Correct,2015,0
2aacd6089c,36,ChoiceTask,Easy,Yellow,769,Correct,2015,0
2aacd6089c,37,ChoiceTask,Easy,Red,535,Correct,2015,0
2aacd6089c,37,ChoiceTask,Easy,Red,530,Correct,2015,0
2aacd6089c,37,ChoiceTask,Easy,Red,535,Correct,2015,0
